server;memory;storage;location;price
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€4,999
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€11,900
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€13,199
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€22,799
RH2288v32x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€16,199
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€7,299
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€17,999
IBM X36302x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€10,699
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€3,999
Dell R730XD2x Intel Xeon E5-2667v4;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€36,499
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€36,499
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€27,999
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€28,699
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€23,999
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€19,999
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€3,599
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€5,999
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€104,499
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€75,699
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€87,499
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€8,999
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€19,999
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€15,499
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€8,499
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;AmsterdamAMS-01;€11,299
HP DL120G91x Intel E5-1620v3;32GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€11,999
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€15,499
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€14,299
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€20,999
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€22,799
RH2288v32x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€16,199
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€20,499
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€7,299
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€22,199
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€12,999
Dell R6202x Intel Xeon E5-2650;96GBDDR3;8x120GBSSD;AmsterdamAMS-01;€19,199
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€19,599
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€29,599
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€35,599
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€16,399
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€11,999
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€27,299
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€36,799
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€21,299
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€27,799
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€38,999
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€18,099
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€24,699
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€34,199
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€16,699
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€30,499
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€27,999
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€6,099
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€11,099
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€8,399
